county,year,population,total_cases_annual,avg_tmean_annual,total_ppt_annual
COLUSA,2006,20833,0,16.139170269171398,540.0349778238359
COLUSA,2011,21277,0,15.394240107801226,494.8223879461487
COLUSA,2015,21277,0,17.34483293692271,228.7097876710468
COLUSA,2016,21739,0,16.933342662122513,526.0405901021246
COLUSA,2018,21739,0,16.709045502874588,376.57002216090285
COLUSA,2019,21739,0,16.360271043247646,711.2659174966914
COLUSA,2020,21739,0,17.226823336548275,146.64558885455335
COLUSA,2022,21739,0,17.022478461265564,253.2963952282565
CONTRA COSTA,2001,1000000,12,15.57305338603662,585.6788904486223
CONTRA COSTA,2002,1000000,12,15.077760506962345,456.4439772325814
CONTRA COSTA,2003,1000000,12,15.342561829634226,411.2948357073215
CONTRA COSTA,2004,1000000,24,15.339098424007949,479.70821603934263
CONTRA COSTA,2005,1000000,24,15.138678471741999,662.8039958258247
CONTRA COSTA,2006,1000000,24,14.985456699652296,590.3023703670342
CONTRA COSTA,2007,1000000,24,14.898590783195708,305.2532677773446
CONTRA COSTA,2008,1000000,12,14.977632551602143,384.58944555533253
CONTRA COSTA,2009,1076923,12,14.856826158974675,508.76871742353495
CONTRA COSTA,2010,1066667,12,14.534018753475173,623.9712537330711
CONTRA COSTA,2011,1068966,36,14.177306731212187,460.58505413320194
CONTRA COSTA,2012,1074074,24,14.96292724236743,610.7656859085215
CONTRA COSTA,2013,1085714,36,15.221702251856422,135.7006003410401
CONTRA COSTA,2014,1111111,24,16.60793218639052,558.9783708282631
CONTRA COSTA,2015,1136364,48,16.372051094082874,245.27892282068197
CONTRA COSTA,2016,1135593,72,15.93116452749999,617.306753482956
CONTRA COSTA,2017,1155844,84,15.977864141615925,716.5955968483117
CONTRA COSTA,2018,1159574,108,15.601580283783614,462.08333892140615
CONTRA COSTA,2019,1165217,132,15.725638764692706,642.1519064829075
CONTRA COSTA,2020,1169355,144,16.427325973866886,181.08205218190332
CONTRA COSTA,2021,1163793,132,15.702355594061222,533.8137746943473
CONTRA COSTA,2022,1146667,84,15.59792579984599,318.92232214788606
CONTRA COSTA,2023,1142857,156,15.035974922516534,743.0864298537902
DEL NORTE,2016,27027,0,11.964204661548138,2667.172976087546
DEL NORTE,2017,27027,0,11.420292258262634,2491.6670915037394
DEL NORTE,2023,26316,0,11.260647083322207,1963.1023136140138
FRESNO,2001,820896,60,17.542226520395943,353.95389872369327
FRESNO,2002,829545,72,17.137659359051398,222.82785011824518
FRESNO,2003,845238,144,17.5290989603323,256.5442304296173
FRESNO,2004,860927,132,17.175183282069586,287.7993257645352
FRESNO,2005,871053,336,17.23068440236979,371.2765868916503
FRESNO,2006,886667,660,16.985844446486897,401.45706539860754
FRESNO,2007,898876,396,17.07092162601098,179.21877370882513
FRESNO,2008,912429,324,17.24500222321186,216.09179715838323
FRESNO,2009,924386,492,17.201479932091853,237.01039838989396
FRESNO,2010,930591,720,16.739829619261954,497.66827232523224
FRESNO,2011,942308,732,16.40987646491715,290.0868732020235
FRESNO,2012,948919,480,17.83139866625821,273.40116009173676
FRESNO,2013,954407,312,17.660952708787388,79.87122917172405
FRESNO,2014,964706,168,19.072795090275232,212.64812367668523
FRESNO,2015,972222,276,18.213708525715326,220.636386831051
FRESNO,2016,977707,612,18.09759375973984,398.64818135851345
FRESNO,2017,985816,840,18.11451983533731,337.6227137197904
FRESNO,2018,993837,648,18.301520057828338,248.30363966689214
FRESNO,2019,1001603,624,17.87713500596859,362.33426270957807
FRESNO,2020,1006726,444,18.419928151882356,170.38395709378483
FRESNO,2021,1009852,408,18.43436206612322,282.92552640038605
FRESNO,2022,1011287,444,18.353148083957258,185.1560555391986
FRESNO,2023,1016129,564,17.60982276304004,412.358867947681
GLENN,2002,26667,0,16.422632604837418,478.80999962519854
GLENN,2004,27027,0,16.63314663867156,603.2948045031455
GLENN,2006,27778,0,16.44089625775814,603.3777395903567
GLENN,2017,28169,0,17.47921045621236,587.0367419525937
GLENN,2019,28571,0,16.890258476138115,791.6755739643268
GLENN,2020,28571,0,18.002751529216766,152.42037202378333
GLENN,2021,28846,0,17.82234699030717,419.5489809559658
GLENN,2022,28571,0,17.75226780772209,272.0146970677015
GLENN,2023,28571,0,16.680860191583633,675.9345517344773
IMPERIAL,2003,142857,0,23.01840894619624,56.81201479436383
IMPERIAL,2004,153846,0,22.429214030504227,112.33377477144495
IMPERIAL,2005,166667,0,22.774256360530853,108.92280686826253
IMPERIAL,2006,160000,0,22.84553523262342,10.414789737949468
IMPERIAL,2007,166667,12,22.66783242225647,39.6322242076586
IMPERIAL,2008,170732,12,22.946393338839215,60.86208130178947
IMPERIAL,2009,173077,12,23.074502740303675,17.185757029093654
IMPERIAL,2010,173913,0,22.725254132350287,138.30894449742826
IMPERIAL,2011,178571,0,22.42398725350698,44.11645771466319
IMPERIAL,2012,176471,12,23.249302927652995,45.66702988156812
IMPERIAL,2013,178571,0,22.61300835410754,86.40977980714415
IMPERIAL,2014,181818,0,23.532638639211655,35.61216834376899
IMPERIAL,2015,181818,0,23.337974601984023,59.33824934704327
IMPERIAL,2016,180328,12,23.500854992866515,56.73532923646497
IMPERIAL,2017,180723,12,23.745557928085326,55.634664761348176
IMPERIAL,2018,180952,24,23.500235615173978,69.1941637096519
IMPERIAL,2019,180851,12,22.414531725645066,132.69567317920738
IMPERIAL,2020,178571,0,23.503911471366884,74.32875951970131
IMPERIAL,2021,166667,0,23.593350422382354,49.93940770400368
IMPERIAL,2022,179487,24,23.35644013484319,47.16264378227716
IMPERIAL,2023,179487,24,22.612984327475232,88.46888122653702
INYO,2006,18519,0,12.06283802641297,213.2427252838388
INYO,2014,18868,0,13.668439070280227,144.24851378658786
INYO,2020,18868,0,13.575327070636881,100.21992557665605
INYO,2021,18868,0,13.479904292823953,194.87247996704536
INYO,2022,18868,0,13.294931361141304,136.60867373442056
INYO,2023,18868,0,11.768778225613966,384.3556755259633
KERN,2001,679570,948,17.978652502941546,220.33138492516792
KERN,2002,696566,996,17.68456793622782,114.00486058420861
KERN,2003,717695,1236,18.065681583547995,167.69148314836792
KERN,2004,740030,1464,17.59184697796564,166.0714943611893
KERN,2005,762025,1500,17.615756256937306,248.1513525782213
KERN,2006,786100,1020,17.49056000266708,169.6345535390908
KERN,2007,805668,1392,17.51556828508606,85.9022904396124
KERN,2008,820236,840,17.685619414820845,117.08239664457194
KERN,2009,831476,600,17.645265255354893,124.28516449047417
KERN,2010,839772,1908,16.979772689652307,350.8518064570828
KERN,2011,850182,2568,16.65170168683017,145.49033873622116
KERN,2012,858333,1848,18.11625650112575,129.0500068014689
KERN,2013,867224,1656,17.816761084195583,87.39381981517133
KERN,2014,872540,936,19.23220637996318,130.31210820884027
KERN,2015,878345,1080,18.596892082085045,128.85061590102637
KERN,2016,880655,2256,18.68726654940069,195.32714596090446
KERN,2017,888112,2796,18.6205781218359,193.6102339951489
KERN,2018,895599,2952,18.441804228529417,150.65064566566144
KERN,2019,903148,3384,17.691843087057514,292.372434663161
KERN,2020,905252,2640,18.26833307860935,154.28878113325496
KERN,2021,908213,2820,18.42144321528195,150.69560705537148
KERN,2022,908406,2412,18.41944875597617,109.38345999276821
KERN,2023,910245,3012,17.344582457442655,335.54533279773875
KINGS,2001,132616,36,17.828248908442834,248.0708984022119
KINGS,2002,134503,48,17.375534193490143,131.86236323338403
KINGS,2003,138587,48,17.65583339557853,169.39476945628522
KINGS,2004,142578,72,17.19131019294903,219.47208719408033
KINGS,2005,144633,132,17.25338520798632,239.25027728626821
KINGS,2006,147468,228,16.892043790509625,285.53089153382086
KINGS,2007,150327,144,16.96387282622758,111.42472586748491
KINGS,2008,151888,180,17.185651261319396,146.88337210007012
KINGS,2009,151786,204,17.052718873946898,151.78901916129456
KINGS,2010,152992,384,16.584194134640438,350.1085285464125
KINGS,2011,151515,372,16.265864955481664,205.0334958888782
KINGS,2012,149752,240,17.592181938950734,171.7855552348173
KINGS,2013,149584,108,17.539040015589805,60.14317036058674
KINGS,2014,148571,72,19.02497132619222,160.52219713944191
KINGS,2015,148571,108,18.393472702272476,132.644879631531
KINGS,2016,147613,240,18.38824620554524,212.80441601319575
KINGS,2017,148936,276,18.21763641090803,228.93982223371015
KINGS,2018,151092,168,18.02702381533961,173.7798149454137
KINGS,2019,151724,216,17.74354164574736,274.7891518454398
KINGS,2020,152132,156,18.01363347550874,127.56056326919767
KINGS,2021,151570,168,18.17540689181256,201.9297985857683
KINGS,2022,151351,168,18.094674833359257,130.01210973800102
KINGS,2023,152322,264,17.565609634563486,304.2029236625343
LAKE,2004,62500,0,14.796233124203152,917.5356522812609
LAKE,2009,62500,0,14.41380644979931,589.095952387367
LAKE,2010,66667,0,13.662567624970087,1161.5305824857794
LAKE,2016,66667,0,15.06919174724155,1103.1740177245367
LAKE,2017,68966,0,15.281845694496518,1222.753545243917
LAKE,2018,66667,0,15.252865933236622,709.857641798792
LAKE,2019,68966,0,14.656994648396022,1319.0901862648952
LAKE,2020,66667,0,15.747864539661105,317.52285926443307
LASSEN,2001,33898,0,9.083495611531866,276.41420257707716
LASSEN,2003,33898,0,9.342620273189688,435.0802028117081
LASSEN,2004,34483,0,8.96806723940945,322.8025999069214
LASSEN,2006,34483,0,8.67095102553894,445.66169003849546
LASSEN,2007,35714,0,8.855080816480848,229.5914247226384
LASSEN,2015,31690,12,10.30866237177893,393.4485649197725
LASSEN,2016,32258,0,9.6956948419274,583.717142661066
LASSEN,2018,33333,0,9.468420745942879,464.7528170688052
LASSEN,2020,31250,0,9.924380804170612,290.343090498712
LASSEN,2022,29412,0,9.365000758044145,325.3949391129168
LASSEN,2023,28571,0,8.50876325417172,569.887770966575
LOS ANGELES,2001,9500000,72,17.26664244818066,472.8578130640451
LOS ANGELES,2002,8800000,84,17.38400738459073,193.79850526105326
LOS ANGELES,2003,8909091,96,18.185904928900516,355.594734160476
LOS ANGELES,2004,9250000,144,17.974205257451448,462.6922403657707
LOS ANGELES,2005,9333333,228,17.854130717158398,685.1476303355674
LOS ANGELES,2006,9142857,192,18.239718744065176,325.31162168555295
LOS ANGELES,2007,9176471,156,18.039056076283604,150.0060338260495
LOS ANGELES,2008,9333333,228,18.465864439319592,358.91373700815046
LOS ANGELES,2009,9200000,180,18.192252609167564,252.6734284042532
LOS ANGELES,2010,9240000,228,17.50852354783254,647.7743223236258
LOS ANGELES,2011,9151515,300,17.383087082472976,313.83907015946704
LOS ANGELES,2012,9454545,312,18.406615072261832,234.64598487497105
LOS ANGELES,2013,9388889,336,18.358549046102333,105.01390335276561
LOS ANGELES,2014,9575000,384,19.683845396828637,227.59384601155634
LOS ANGELES,2015,9472727,516,19.585588177618536,173.92230685805183
LOS ANGELES,2016,9520000,720,19.03026385472947,292.9407148522296
LOS ANGELES,2017,9536842,912,19.228037404042524,344.60814064596644
LOS ANGELES,2018,9576923,996,19.025126810924323,252.49928595822234
LOS ANGELES,2019,9578947,1092,18.026873483184822,594.1608830492478
LOS ANGELES,2020,9560748,1020,18.893176178002086,247.31804469972914
LOS ANGELES,2021,9380952,1380,17.90716667285185,320.1928584309289
LOS ANGELES,2022,9246835,1464,18.591648031332213,173.49710681476458
LOS ANGELES,2023,9227586,1344,17.281271930511746,795.6495810079344
MADERA,2001,127273,12,16.38201365473808,462.3006294735618
MADERA,2002,128571,24,15.933626080552736,339.37488364864845
MADERA,2003,132530,12,16.279607293780384,308.52523925884475
MADERA,2004,136364,24,16.06798169104492,375.5519154599187
MADERA,2005,139785,24,16.12485181306507,502.33058287517633
MADERA,2006,143541,24,15.949473733265027,485.03443395072316
MADERA,2007,147059,24,16.051803121014554,216.7364278909004
MADERA,2008,148936,24,16.16722488293753,299.12501846971196
MADERA,2009,150289,24,16.12276166516776,352.39112704302295
MADERA,2010,150685,36,15.672667523663417,603.3082132406954
MADERA,2011,151203,48,15.29913379624486,385.54599416728456
MADERA,2012,150000,24,16.47542765824234,401.04814446621134
MADERA,2013,151316,48,16.295438795587888,92.80253439098905
MADERA,2014,152838,36,17.8112908183944,248.57014336180825
MADERA,2015,152975,48,17.19155821613237,246.33356999990622
MADERA,2016,153125,48,16.96252501668299,483.1318952377803
MADERA,2017,154217,60,16.9182062006519,456.8949203726994
MADERA,2018,155496,60,17.009862335992285,368.16129741064543
MADERA,2019,155340,60,16.74652199655333,491.99041658970515
MADERA,2020,156028,24,17.110815170841914,213.5621898377437
MADERA,2021,156627,36,17.123029331147087,365.35734830902106
MADERA,2022,157182,60,17.055846988570458,260.99371331986805
MADERA,2023,158470,60,16.302058881842623,512.2475776609101
MARIPOSA,2015,17699,0,14.680041771796015,510.26359893009067
MARIPOSA,2016,17647,0,14.386348702013493,884.5715823428085
MARIPOSA,2017,17544,0,14.497152497474518,1191.9316620247507
MARIPOSA,2018,17241,0,14.455705062382751,762.9063417011057
MARIPOSA,2019,17241,0,13.67245363858011,1028.4925609537374
MARIPOSA,2020,17241,0,15.08569443060292,382.6935398366768
MARIPOSA,2021,16949,0,15.320487070621715,707.332153347386
MARIPOSA,2022,16949,0,15.193379778828886,562.2646831745418
MARIPOSA,2023,16949,0,13.848879085646736,1106.5915887441047
MERCED,2001,214286,0,16.77604280514692,353.75428590063643
MERCED,2002,223881,12,16.254701657269997,249.05935710914864
MERCED,2003,229730,12,16.671475878468264,221.8208202473664
MERCED,2004,234043,12,16.44313774727009,330.4273803610325
MERCED,2005,239437,12,16.5979690759901,378.2728439966838
MERCED,2006,244444,12,16.28880408012047,363.2972165637833
MERCED,2007,250000,12,16.26041500278251,166.63377719134508
MERCED,2008,250000,12,16.500195560001192,235.87552163281546
MERCED,2009,253521,24,16.481877501679477,278.91034705392167
MERCED,2010,255605,60,16.09062825182758,439.7344777844403
MERCED,2011,259804,48,15.703420760139586,299.6788968498543
MERCED,2012,262712,60,16.874997058873454,316.74456042232583
MERCED,2013,263415,48,16.614816798734918,80.25962000731417
MERCED,2014,266010,48,18.109769534812404,260.5191681637962
MERCED,2015,266862,96,17.459487465954332,177.9709704511765
MERCED,2016,269103,84,17.462716301912984,392.6941937012055
MERCED,2017,272265,108,17.32139812007783,343.33204648164246
MERCED,2018,275100,132,17.137713019810025,286.00642922434895
MERCED,2019,278215,108,17.047756216513417,362.5488341897063
MERCED,2020,281139,84,17.392215563506678,153.24924936222786
MERCED,2021,282230,84,17.304213615321608,276.03317679751603
MERCED,2022,285124,72,17.31400736992952,211.4316132813639
MERCED,2023,289673,120,16.6137487970332,411.1450791939951
MONO,2003,13514,0,6.102561576602359,385.8044864498079
MONO,2007,14286,0,6.386122281352679,363.24859058856964
MONO,2018,13158,0,6.812045285478234,560.4937053324638
MONO,2021,13245,0,6.957245038822293,689.9946763217449
MONO,2023,13158,0,4.774918104677151,1029.0126278102398
MONTEREY,2001,400000,12,13.53434327350851,472.0143354181579
MONTEREY,2002,400000,12,13.530521845354617,321.3265214378082
MONTEREY,2003,400000,0,14.207549800378992,347.1866344662877
MONTEREY,2004,409091,24,14.04073694685902,384.55355214829046
MONTEREY,2005,408451,24,14.049682898814623,471.87929249998757
MONTEREY,2006,404959,48,13.569959731549506,492.1081825540333
MONTEREY,2007,407407,36,13.254856161315079,215.04004118461393
MONTEREY,2008,408451,24,13.408077749619592,334.85480178935546
MONTEREY,2009,414894,36,13.469422002440517,382.01687685587626
MONTEREY,2010,414815,60,13.259698909463234,550.91393370335
MONTEREY,2011,421384,72,13.171469651765422,384.9718197820848
MONTEREY,2012,424581,72,13.413034829121191,417.32164080739426
MONTEREY,2013,425926,72,13.530803888746835,92.87268510082275
MONTEREY,2014,428571,24,15.06821365572488,425.1193956560868
MONTEREY,2015,431818,36,15.01664058907518,234.17564506807176
MONTEREY,2016,436464,84,14.357830379387321,476.73119574862415
MONTEREY,2017,438356,192,14.630359939001139,489.2738761487456
MONTEREY,2018,439926,240,14.195407196927611,387.0604444120603
MONTEREY,2019,441315,192,14.343911630821845,575.267750905078
MONTEREY,2020,439394,120,14.720046747078015,228.39824835622017
MONTEREY,2021,437500,120,13.863594815954807,425.87854078390677
MONTEREY,2022,434615,108,14.044373046233044,292.0514208580192
MONTEREY,2023,432749,144,13.588941516999673,550.8034358261697
ORANGE,2001,3000000,24,17.122280039043126,365.84892796654435
ORANGE,2002,3000000,24,17.24639485166279,157.10105437763445
ORANGE,2003,3000000,24,18.113066931403544,314.8301214150432
ORANGE,2004,3000000,36,18.0901101696031,367.88292231945246
ORANGE,2005,3000000,36,17.948629916265258,492.0303731609827
ORANGE,2006,2866667,48,18.179365094813917,242.4802514841956
ORANGE,2007,3000000,36,18.052478991104508,111.86813500536428
ORANGE,2008,3071429,48,18.3564670100168,283.49852471085336
ORANGE,2009,2958333,72,18.231186480804784,186.55190169557164
ORANGE,2010,3000000,36,17.446305811696885,596.1377740272607
ORANGE,2011,3074074,84,17.32528563321058,222.78872716124775
ORANGE,2012,3108108,120,18.389364144541506,212.35981467300374
ORANGE,2013,3130435,72,18.20759068461071,103.16849572401948
ORANGE,2014,3080000,72,19.83994116324196,195.21797911728746
ORANGE,2015,3127273,168,19.59907966712819,185.10518178559573
ORANGE,2016,3205882,108,18.946254020802932,279.012688349144
ORANGE,2017,3194444,228,19.05437355770113,328.2600495538236
ORANGE,2018,3196721,192,18.91478769904962,206.94442926466448
ORANGE,2019,3175824,288,17.950570227854794,557.8734140686128
ORANGE,2020,3171053,240,18.713665795754064,233.71050494644837
ORANGE,2021,3153846,288,17.54623995273252,239.8213843015209
ORANGE,2022,3136842,300,18.287024693232375,155.50245443669507
ORANGE,2023,3150000,312,17.08194651041036,603.9046472787073
PLUMAS,2002,20833,0,9.301389906599763,1002.8581767916912
PLUMAS,2009,20000,0,9.227538770508199,937.2448696698993
PLUMAS,2011,20000,0,8.331358204462699,936.5278304655637
PLUMAS,2013,19802,0,9.54330588442584,337.1487016720431
PLUMAS,2014,19608,0,10.620189269383749,1027.5648673815385
PLUMAS,2018,19608,0,9.851006890247975,881.0441224895826
PLUMAS,2023,18868,0,8.404317938234835,1189.5641163011314
RIVERSIDE,2001,1666667,24,18.895988521850555,226.50880304493873
RIVERSIDE,2002,1647059,24,18.765952892898746,99.24651689743175
RIVERSIDE,2003,1733333,24,19.449214019907334,266.06068359360216
RIVERSIDE,2004,1884615,48,18.91042414702657,320.43297508751334
RIVERSIDE,2005,1923077,48,18.999697919134313,389.2387170600708
RIVERSIDE,2006,2037037,60,19.272271415249875,156.2500916042671
RIVERSIDE,2007,2043478,48,19.050801439174815,104.75707798139786
RIVERSIDE,2008,2090909,48,19.274562739344024,237.2901384925808
RIVERSIDE,2009,2171429,72,19.262827214893996,141.44418826069136
RIVERSIDE,2010,2184211,84,18.520013509723363,477.59478167592465
RIVERSIDE,2011,2250000,72,18.521231795676734,185.89483315776556
RIVERSIDE,2012,2240000,60,19.93965669396301,161.17078395170032
RIVERSIDE,2013,2266667,36,19.43988766917237,120.15192380086793
RIVERSIDE,2014,2235294,36,20.599640284495923,178.11108256739655
RIVERSIDE,2015,2280000,60,20.300472388703238,157.94311607196488
RIVERSIDE,2016,2370370,60,20.197063193664896,216.46822542840223
RIVERSIDE,2017,2368421,132,20.459632516022353,215.6146598052847
RIVERSIDE,2018,2366667,144,20.223125632972177,178.00193051463683
RIVERSIDE,2019,2396694,288,18.844237329129086,406.9648205965671
RIVERSIDE,2020,2426357,312,20.092307003922137,227.46571702065185
RIVERSIDE,2021,2433155,456,19.55809629239631,191.6797220231598
RIVERSIDE,2022,2440559,348,19.965920969402774,119.47651543148527
RIVERSIDE,2023,2452941,420,18.507513053743995,411.1890401397091
SAN BENITO,2001,55556,0,14.737129936615625,427.1542185094797
SAN BENITO,2003,55556,0,15.040691587660048,338.744752862709
SAN BENITO,2004,55556,0,14.864362676938375,381.84101136029983
SAN BENITO,2005,55556,0,14.910718831751081,471.514162788284
SAN BENITO,2006,54795,0,14.503596057494482,438.67505188348395
SAN BENITO,2008,55556,0,14.583895372019875,321.3521102567514
SAN BENITO,2010,55556,0,14.08676101764043,500.337349644133
SAN BENITO,2011,55556,0,13.830855720573002,298.7117068806353
SAN BENITO,2013,58824,0,14.773686627546947,90.80501958384049
SAN BENITO,2014,58824,0,16.199728687604267,345.15614164446015
SAN BENITO,2016,60000,0,15.245254443751442,440.6049588600076
SAN BENITO,2017,60606,0,15.546170390314526,470.2341098046745
SAN BENITO,2018,61224,0,15.193022774325476,334.6902074214522
SAN BENITO,2019,63291,0,15.086022645235062,497.3369107908594
SAN BENITO,2020,64516,0,15.57282480928633,192.61571170762977
SAN BENITO,2021,65359,12,14.8507659567727,383.33740025140867
SAN BENITO,2022,66667,0,15.368206126822365,260.2165347232173
SAN BENITO,2023,66667,0,14.50900071197086,505.8769144939092
SAN BERNARDINO,2001,1857143,12,17.25640004969739,316.30708983271444
SAN BERNARDINO,2002,1888889,12,17.346736097996136,158.26593739086377
SAN BERNARDINO,2003,1875000,12,17.920991661274893,334.26400454136666
SAN BERNARDINO,2004,1928571,24,17.468699428995002,404.6850333085765
SAN BERNARDINO,2005,1944444,36,17.393703038124727,543.0954270577355
SAN BERNARDINO,2006,1941176,36,17.69298709776034,264.2889957367664
SAN BERNARDINO,2007,2000000,24,17.701392672115933,148.69009417096154
SAN BERNARDINO,2008,2090909,24,17.874792761566418,320.70472154569416
SAN BERNARDINO,2009,2000000,36,17.668295392125728,204.75488160236804
SAN BERNARDINO,2010,2028571,72,16.79246711918837,688.0066768436211
SAN BERNARDINO,2011,2083333,48,16.874829046017837,252.68112758330253
SAN BERNARDINO,2012,2107143,60,18.273166271607433,218.36983720155735
SAN BERNARDINO,2013,2130435,48,17.856222530934847,140.0381509103804
SAN BERNARDINO,2014,2062500,36,19.097881780161877,226.46904379853294
SAN BERNARDINO,2015,2071429,24,18.67041189246536,199.22307243473537
SAN BERNARDINO,2016,2111111,36,18.51807544951211,292.86327306907043
SAN BERNARDINO,2017,2146341,84,18.89144987755126,284.4501296630526
SAN BERNARDINO,2018,2155556,96,18.589737893579173,249.07096898596373
SAN BERNARDINO,2019,2180952,228,17.362232213220338,547.8767789934566
SAN BERNARDINO,2020,2177570,228,18.67789339912637,255.55740899755523
SAN BERNARDINO,2021,2185841,252,18.0540898840592,280.0519286621063
SAN BERNARDINO,2022,2180952,228,18.29778197981172,159.75740302479565
SAN BERNARDINO,2023,2206897,132,16.732974353950546,576.442917143584
SAN DIEGO,2001,2850000,60,16.578639954706464,284.18430439945314
SAN DIEGO,2002,2950000,60,16.501909516751766,149.7543947562479
SAN DIEGO,2003,2894737,60,17.19587800009311,253.27839950148882
SAN DIEGO,2004,2952381,60,17.120209306100573,371.2451165536286
SAN DIEGO,2005,2920000,72,17.28033148097819,415.137051758126
SAN DIEGO,2006,2944444,48,17.525336198670708,220.87512537283604
SAN DIEGO,2007,3037037,84,17.03200867615532,181.1315593133058
SAN DIEGO,2008,3022222,132,17.64578242416399,317.9481505296295
SAN DIEGO,2009,3068182,132,17.46436694070049,186.29796046330142
SAN DIEGO,2010,3113636,132,16.482970069284026,542.7810218676128
SAN DIEGO,2011,3148936,144,16.58302043259576,299.12693769624406
SAN DIEGO,2012,3159091,144,17.477215953387212,230.10037542936817
SAN DIEGO,2013,3206897,96,17.307332949577898,155.41370637164127
SAN DIEGO,2014,3259259,84,18.958051646101303,200.71683764288645
SAN DIEGO,2015,3228571,108,18.79419852750025,233.16305432618208
SAN DIEGO,2016,3300000,132,18.305692851597417,316.1639866580939
SAN DIEGO,2017,3261905,276,18.3399627322628,310.83880610925917
SAN DIEGO,2018,3285714,276,18.11091458549102,234.7653892042721
SAN DIEGO,2019,3283465,420,17.23293404335129,503.9878300156024
SAN DIEGO,2020,3292857,456,18.05635801432789,310.67322851170707
SAN DIEGO,2021,3294118,444,17.02128478296209,257.13173232135176
SAN DIEGO,2022,3267717,420,17.552831757165816,180.57946426914194
SAN DIEGO,2023,3301471,444,16.551790144726418,530.9332679640089
SAN JOAQUIN,2001,578947,12,16.367147408225982,411.3602786157159
SAN JOAQUIN,2002,606061,24,15.789734231101143,369.5152032395762
SAN JOAQUIN,2003,629630,12,16.326451239001248,376.08611821566825
SAN JOAQUIN,2004,636364,24,16.213722912287803,399.3421423311991
SAN JOAQUIN,2005,650000,24,16.318548392061988,470.2246002282187
SAN JOAQUIN,2006,661017,36,16.159760892619573,426.09653577290175
