ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
06,California,CA,06021,Glenn County,06021,"Glenn County, California",1313.966997764498,28657,0,10914,50,9742,209,7358,963,1040,229,2799,402,4100,384,3104,726,4835,95,7580,225,3599,386,427,148,2129,413,14434,56,1070,340,1471,206,401,162,347,120,250,10,25.9,3.4,7.7,1.6,28.7,4.1,22.2,2.1,10.9,2.5,16.9,0.3,26.5,0.8,12.7,1.4,4.4,1.5,8.0,1.6,50.4,0.2,9.8,3.1,13.5,1.9,4.1,1.7,3.6,1.2,0.9,0.0,0.7544,0.7544,0.4211,0.8596,0.9474,3.7369,0.8596,0.5263,0.807,0.4912,0.2281,0.6667,2.7193,0.6842,0.5088,0.5088,0.5088,0.6491,0.8947,0.3158,0.0877,0.0175,1.9648,0.193,8.9298,0.6667,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25914,1367,296,72,40,12418,0,985,172,289,90,41,46,589,193,40,32,14.0,3.0,0.3,0.1,43.3,0.0,3.4,0.6,1.0,0.3,0.1,0.2,2.1,0.7,0.1,0.1
06,California,CA,06023,Humboldt County,06023,"Humboldt County, California",3568.02310732444,136132,0,62306,67,54495,612,39656,2321,6162,686,20247,1210,8177,861,8305,911,25688,90,25608,64,24235,1398,3387,472,2232,575,38716,555,2820,389,4814,554,2264,358,3794,572,4137,55,29.8,1.7,9.2,1.0,37.2,2.2,8.7,0.9,6.1,0.7,18.9,0.1,18.8,0.1,17.9,1.0,6.2,0.9,1.7,0.4,28.4,0.4,4.5,0.6,7.7,0.9,4.1,0.7,7.0,1.0,3.0,0.0,0.8772,0.9123,1.0,0.2456,0.3333,3.3684,0.7544,0.5965,0.2105,0.7895,0.6667,0.193,2.4562,0.5088,0.2105,0.2105,0.2105,0.3158,0.6842,0.3158,0.8596,0.6491,2.8245,0.6316,8.8596,0.6491,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,133463,6026,614,1601,266,17129,0,4256,394,4593,380,324,127,9980,851,833,267,11.1,1.1,1.2,0.2,12.6,0.0,3.1,0.3,3.4,0.3,0.2,0.1,7.3,0.6,0.6,0.2
06,California,CA,06025,Imperial County,06025,"Imperial County, California",4175.536860234826,179578,0,56907,79,47024,737,60845,3763,9205,1219,16352,1145,31660,1659,11731,1290,23671,143,51049,0,24352,1362,4607,605,32857,1853,162397,140,4257,599,5612,566,4411,613,2955,395,8171,237,35.5,2.2,13.2,1.7,34.8,2.4,28.7,1.5,6.8,0.8,13.2,0.1,28.4,0.0,14.2,0.8,9.8,1.3,19.8,1.1,90.4,0.1,7.5,1.1,9.9,1.0,9.4,1.3,6.3,0.8,4.6,0.1,1.0,1.0,0.9825,1.0,0.5614,4.5439,1.0,0.1579,0.9474,0.6667,1.0,1.0,3.772,1.0,1.0,1.0,1.0,0.5088,0.7544,0.8772,0.7895,0.807,3.7369,0.9825,13.0528,1.0,1,1,1,1,0,4,0,1,0,1,1,3,1,1,0,0,0,0,0,0,8,191441,5865,645,4084,290,153382,0,2337,81,1277,121,44,35,1185,345,88,76,12.5,1.3,2.3,0.2,85.4,0.0,1.3,0.1,0.7,0.1,0.0,0.1,0.7,0.2,0.0,0.1
06,California,CA,06027,Inyo County,06027,"Inyo County, California",10197.256158329406,18829,0,9471,68,7849,199,3629,503,426,159,2137,310,962,225,1238,285,4487,42,3838,90,3075,337,322,97,167,99,7616,112,199,111,2189,217,159,64,405,154,800,139,19.7,2.7,4.9,1.8,27.2,3.9,6.9,1.6,6.7,1.5,23.8,0.2,20.4,0.5,16.7,1.8,4.1,1.2,0.9,0.6,40.4,0.6,2.1,1.2,23.1,2.2,2.1,0.8,5.2,2.0,4.2,0.7,0.4035,0.1053,0.3509,0.1404,0.5439,1.544,0.2456,0.807,0.4035,0.7544,0.193,0.0702,2.2281,0.3509,0.4211,0.4211,0.4211,0.0526,1.0,0.0526,0.4737,0.7719,2.3508,0.3684,6.544,0.2982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,18459,1371,242,121,66,4500,0,268,70,1513,165,176,85,996,172,42,38,17.5,3.1,0.6,0.4,23.9,0.0,1.4,0.4,8.0,0.9,0.9,0.5,5.3,0.9,0.2,0.2
06,California,CA,06029,Kern County,06029,"Kern County, California",8134.669306636574,906883,0,301687,400,277499,1252,283531,8078,32872,1605,94760,2776,129756,2825,68569,3446,102703,62,261013,0,100653,3143,25534,1427,83768,2963,621664,1228,18921,1047,22460,1169,26670,1374,17883,1271,27027,778,32.2,0.9,8.4,0.4,34.1,1.0,23.4,0.5,7.8,0.4,11.3,0.1,28.8,0.0,11.4,0.4,9.2,0.5,10.0,0.4,68.5,0.1,6.3,0.3,7.4,0.4,9.6,0.5,6.4,0.5,3.0,0.1,0.9649,0.8421,0.9649,0.8772,0.7368,4.3859,0.9474,0.0175,0.9649,0.2807,0.9649,0.807,3.035,0.807,0.7895,0.7895,0.7895,0.4386,0.6491,0.8947,0.8246,0.6491,3.4561,0.9649,11.6665,0.9649,1,0,1,0,0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,4,927620,33025,1453,44199,1356,501705,0,43481,1114,3429,559,1044,133,24493,1913,3313,1041,11.9,0.5,4.9,0.1,55.3,0.0,4.8,0.1,0.4,0.1,0.1,0.1,2.7,0.2,0.4,0.1
06,California,CA,06031,Kings County,06031,"Kings County, California",1390.971808832452,152515,0,46500,233,43594,511,38775,2842,5352,925,13565,963,24260,1123,10117,1039,15971,151,41048,46,16895,958,3693,511,14477,1247,106629,328,3094,534,1979,340,3625,477,2109,400,12997,284,27.8,2.0,9.2,1.5,31.1,2.2,25.5,1.2,7.4,0.8,10.5,0.1,26.9,0.1,12.4,0.7,8.4,1.2,10.2,0.9,69.9,0.2,6.6,1.1,4.3,0.7,8.3,1.1,4.8,0.9,8.5,0.2,0.807,0.9123,0.7018,0.8947,0.6842,4.0,0.8947,0.0,0.8772,0.4561,0.9123,0.8246,3.0702,0.8246,0.8246,0.8246,0.8246,0.4561,0.3333,0.7895,0.3684,0.9474,2.8947,0.7018,10.7895,0.8947,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,3,150475,5761,660,9091,435,85622,0,5705,386,1133,155,255,120,4537,638,286,242,13.2,1.5,6.0,0.3,56.1,0.0,3.7,0.3,0.7,0.1,0.2,0.1,3.0,0.4,0.2,0.2
06,California,CA,06033,Lake County,06033,"Lake County, California",1255.081502203306,68024,0,34313,56,26487,550,19017,1606,2948,463,8590,713,6542,655,4359,615,15801,107,14511,32,13359,759,1298,305,1988,370,22765,397,1156,309,7207,690,1095,265,1485,284,1047,79,28.5,2.4,10.4,1.6,32.4,2.6,13.4,1.3,6.5,0.9,23.2,0.2,21.3,0.1,19.8,1.1,4.9,1.1,3.1,0.6,33.5,0.6,3.3,0.9,21.0,2.0,4.1,1.0,5.6,1.1,1.5,0.1,0.8596,0.9474,0.8596,0.5965,0.4561,3.7192,0.8421,0.7544,0.5263,0.9649,0.4035,0.3509,3.0,0.7895,0.2982,0.2982,0.2982,0.1754,0.9825,0.3158,0.6316,0.193,2.2983,0.3333,9.3157,0.7544,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,3,58788,4275,482,1507,179,15672,0,905,203,1579,256,199,79,2654,498,249,186,16.1,1.7,2.2,0.3,23.0,0.0,1.3,0.3,2.3,0.4,0.3,0.1,3.9,0.7,0.4,0.3
06,California,CA,06035,Lassen County,06035,"Lassen County, California",4541.367016425514,31873,0,12266,94,8925,269,5636,731,777,213,2504,319,4636,341,1778,329,4854,162,5460,91,4314,423,512,154,701,229,11797,108,425,146,1529,205,229,72,458,120,8023,206,23.6,3.0,7.9,2.1,28.1,3.5,19.5,1.4,7.4,1.3,15.2,0.5,17.1,0.3,17.9,1.7,5.8,1.7,2.3,0.8,37.0,0.3,3.4,1.2,12.5,1.7,2.6,0.8,5.1,1.4,25.2,0.6,0.614,0.7719,0.4035,0.7544,0.6842,3.228,0.7018,0.3684,0.1228,0.7895,0.5789,0.2456,2.1052,0.3158,0.3509,0.3509,0.3509,0.2281,0.8772,0.1579,0.4386,1.0,2.7018,0.614,8.3859,0.5614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,34663,1219,229,2516,237,6517,0,531,88,592,102,302,12,1179,257,160,158,13.7,2.5,7.9,0.7,20.4,0.0,1.7,0.3,1.9,0.3,0.9,0.1,3.7,0.8,0.5,0.5
06,California,CA,06037,Los Angeles County,06037,"Los Angeles County, California",4060.244062868932,9936690,0,3599561,639,3363093,4811,2222770,20181,365544,5798,1138428,8479,1364653,9085,888735,11520,1415856,0,2093072,0,1045189,8877,199951,3708,1173967,8817,7431513,3167,995678,6796,56730,1816,372330,4445,291082,4101,201521,1418,22.7,0.2,7.0,0.1,33.9,0.2,19.7,0.1,9.0,0.1,14.2,0.0,21.1,0.0,10.6,0.1,5.9,0.1,12.5,100.0,74.8,0.0,27.7,0.2,1.6,0.1,11.0,0.1,8.7,0.1,2.0,0.0,0.5789,0.5614,0.9474,0.7719,0.8421,3.7017,0.8246,0.2281,0.4386,0.1579,0.614,0.9123,2.3509,0.386,0.9649,0.9649,0.9649,0.9825,0.0877,0.9825,0.9649,0.4035,3.4211,0.9474,10.4386,0.8596,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,3,6,9925418,325015,5250,753155,3797,4837594,0,1452646,4734,18662,1293,20597,770,298906,6115,49953,2891,9.7,0.2,7.6,0.1,48.7,0.0,14.6,0.1,0.2,0.1,0.2,0.1,3.0,0.1,0.5,0.1
06,California,CA,06039,Madera County,06039,"Madera County, California",2136.916867024202,157243,0,49880,86,43857,598,46401,3066,7492,912,13274,925,27680,1249,11459,1174,22292,80,42872,45,20990,1156,3393,520,18159,1277,107326,311,2302,521,3218,422,4785,548,1881,333,6749,104,30.9,2.0,11.1,1.4,30.3,2.1,27.9,1.3,7.6,0.8,14.2,0.1,27.3,0.1,13.9,0.8,7.7,1.2,12.4,0.9,68.3,0.2,4.6,1.0,6.5,0.8,10.9,1.2,4.3,0.8,4.3,0.1,0.9298,0.9825,0.5965,0.9649,0.7193,4.193,0.9298,0.2281,0.9123,0.6491,0.8421,0.8947,3.5263,0.9649,0.7719,0.7719,0.7719,0.3333,0.5439,0.9649,0.2105,0.7895,2.8421,0.6491,11.3333,0.9298,1,1,0,1,0,3,0,1,0,0,0,1,0,0,0,0,1,0,0,1,5,154468,4781,463,3854,567,93855,0,3572,251,729,207,91,60,4777,724,448,216,10.9,1.1,2.5,0.4,59.7,0.0,2.3,0.2,0.5,0.1,0.1,0.1,3.0,0.5,0.3,0.1
06,California,CA,06041,Marin County,06041,"Marin County, California",520.423083467504,260485,0,111681,102,103709,626,26716,1775,7887,805,21634,1220,12608,988,9485,1121,60391,110,50946,60,24600,1178,4571,548,10628,948,80145,734,14459,1007,1353,268,4372,504,4775,580,6798,176,10.4,0.7,5.8,0.6,20.9,1.2,6.6,0.5,3.7,0.4,23.2,0.1,19.6,0.1,9.6,0.5,4.4,0.5,4.3,0.4,30.8,0.3,13.0,0.9,1.2,0.2,4.2,0.5,4.6,0.6,2.6,0.1,0.0175,0.3158,0.0702,0.1053,0.0351,0.5439,0.0526,0.7544,0.2807,0.1053,0.2281,0.4035,1.772,0.1228,0.2281,0.2281,0.2281,0.7719,0.0351,0.3684,0.2807,0.5789,2.035,0.2105,4.579,0.0526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250460,5305,624,5725,565,43143,0,16170,683,249,94,430,113,12416,946,2012,547,5.1,0.6,2.2,0.2,16.6,0.0,6.2,0.3,0.1,0.1,0.2,0.1,4.8,0.4,0.8,0.2
